cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       
72.1727,2718,6.21,3,2.07,0.0581,0.010004,0.048096,0.011001,0.015599,0.020753,0.015599,-0.015793,8.5792,0.55422,0,0,0,0,0,0
72.5938,2733,7.87,3,2.6233,0.07402,0.0099986,0.064021,0.010905,0.015472,0.020591,0.015472,-0.015709,8.6334,0.55881,1,1,1,1,0,4.7364
73.017,2748,1,3,0.33333,0.009452,0.0099985,-0.00054647,0.010814,0.015353,0.020441,0.015353,-0.015636,8.6813,0.56919,0,0,0,0,0,0
73.4423,2763,0.694,3,0.23133,0.0065912,0.010003,-0.0034115,0.01073,0.015243,0.020303,0.015243,-0.015573,8.7218,0.55041,0,0,0,0,0,0
73.8697,2778,0.722,3,0.24067,0.0068908,0.010009,-0.0031177,0.010651,0.015141,0.020175,0.015141,-0.015518,8.7532,0.5278,0,0,0,0,0,0
74.2992,2793,0.46533,3,0.15511,0.0044678,0.010014,-0.0055462,0.010577,0.015047,0.020057,0.015047,-0.015471,8.774,0.60474,0,0,0,0,0,0
74.7313,2808,1.142,3,0.38067,0.011023,0.01002,0.0010029,0.010508,0.014959,0.019948,0.014959,-0.015431,8.7824,0.45233,0,0,0,0,0,0
75.1656,2823,1.388,3,0.46267,0.013467,0.010027,0.0034407,0.010443,0.014877,0.019847,0.014877,-0.015397,8.7771,0.36069,0,0,0,0,0,0
75.6022,2838,1.564,3,0.52133,0.015266,0.010036,0.0052301,0.010382,0.014801,0.019754,0.014801,-0.015368,8.7571,0.35433,0,0,0,0,0,0
76.0415,2853,4.8907,3,1.6302,0.048007,0.010055,0.037952,0.010325,0.01473,0.019668,0.01473,-0.015343,8.7218,0.29042,0,1,1,1,0,0.34833
76.4832,2868,2.2027,3,0.73422,0.02175,0.010087,0.011663,0.010273,0.014666,0.019589,0.014666,-0.015323,8.6715,0.28739,1,0,0,0,0,0
76.9276,2883,0.71867,3,0.23956,0.0071411,0.010133,-0.0029924,0.010226,0.014607,0.019519,0.014607,-0.015306,8.6065,0.26087,0,0,0,0,0,0
77.3747,2898,1.4447,3,0.48156,0.014447,0.010192,0.004255,0.010184,0.014556,0.019457,0.014556,-0.015294,8.5277,0.25821,0,0,0,0,0,0
77.8247,2913,1.328,3,0.44267,0.013357,0.010256,0.0031006,0.010147,0.014511,0.019403,0.014511,-0.015286,8.4362,0.29781,0,0,0,0,0,0
78.2773,2928,0.51067,3,0.17022,0.0051709,0.01032,-0.0051488,0.010114,0.014473,0.019358,0.014473,-0.015282,8.3333,0.42096,0,0,0,0,0,0
78.733,2943,2.252,3,0.75067,0.022961,0.010372,0.012589,0.010086,0.01444,0.01932,0.01444,-0.015282,8.2204,0.31588,0,0,0,0,0,0
79.1918,2958,1.38,3,0.46,0.014171,0.010406,0.0037653,0.010062,0.014412,0.019288,0.014412,-0.015288,8.0987,0.26137,0,0,0,0,0,0
79.6539,2973,0.20733,2.731,0.069111,0.0021426,0.010416,-0.0082735,0.01004,0.014388,0.019262,0.014388,-0.015299,7.9697,0.22939,0,0,0,0,0,0
80.1189,2988,0.186,3,0.062,0.0019368,0.010401,-0.0084639,0.01002,0.014368,0.019241,0.014368,-0.015317,7.8346,0.29103,0,0,0,0,0,0
80.5875,3003,0.47067,3,0.15689,0.0049358,0.010361,-0.0054254,0.010001,0.014349,0.019224,0.014349,-0.01534,7.6946,0.27034,0,0,0,0,0,0
