cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
11.0556                         ,108                            ,37                             ,5                              ,7.4                            ,0.20556                        ,0.28188                        ,-0.076327                      ,0.27394                        ,0.3705                         ,0.47873                        ,0.3705                         ,-0.28874                       ,8.3806                         ,0.0025321                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6411                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.4722                         ,123                            ,56.6                           ,5                              ,11.32                          ,0.33171                        ,0.28347                        ,0.048234                       ,0.27003                        ,0.36545                        ,0.47239                        ,0.36545                        ,-0.28595                       ,8.2652                         ,0.0019496                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6504                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.9118                         ,138                            ,58.8                           ,5                              ,11.76                          ,0.33051                        ,0.28507                        ,0.045437                       ,0.26611                        ,0.36037                        ,0.46602                        ,0.36037                        ,-0.28314                       ,8.1491                         ,0.0015764                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6601                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.3333                         ,153                            ,39.8                           ,4.1                            ,9.3486                         ,0.25968                        ,0.28668                        ,-0.026996                      ,0.26218                        ,0.35527                        ,0.45963                        ,0.35527                        ,-0.28032                       ,8.0325                         ,0.0014618                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6702                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.75                           ,168                            ,31.4                           ,3.1                            ,10.7086                        ,0.29746                        ,0.28829                        ,0.0091724                      ,0.25823                        ,0.35016                        ,0.45321                        ,0.35016                        ,-0.27749                       ,7.9154                         ,0.0010419                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6809                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.1667                         ,183                            ,36.8                           ,2.6                            ,14.2933                        ,0.40171                        ,0.2899                         ,0.11181                        ,0.25427                        ,0.34503                        ,0.44677                        ,0.34503                        ,-0.27464                       ,7.7979                         ,0.00078414                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6919                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.5882                         ,198                            ,32                             ,3                              ,10.6667                        ,0.31256                        ,0.29151                        ,0.021049                       ,0.2503                         ,0.3399                         ,0.44032                        ,0.3399                         ,-0.27178                       ,7.6799                         ,0.00069006                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7034                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.0278                         ,213                            ,32                             ,3                              ,10.6667                        ,0.2963                         ,0.29313                        ,0.0031706                      ,0.24633                        ,0.33475                        ,0.43387                        ,0.33475                        ,-0.26892                       ,7.5617                         ,0.00075919                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7153                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.4444                         ,228                            ,37.2                           ,3.8667                         ,9.6556                         ,0.28188                        ,0.29473                        ,-0.012849                      ,0.24236                        ,0.32961                        ,0.4274                         ,0.32961                        ,-0.26604                       ,7.4433                         ,0.00069979                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7276                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.8824                         ,243                            ,26.2667                        ,3.2667                         ,7.9111                         ,0.2232                         ,0.29633                        ,-0.073129                      ,0.23839                        ,0.32446                        ,0.42093                        ,0.32446                        ,-0.26316                       ,7.325                          ,0.00062941                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.7402                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
