cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
12.113                          ,108                            ,0                              ,3                              ,0                              ,0                              ,0.0084691                      ,-0.0084691                     ,0.005656                       ,0.0090342                      ,0.012821                       ,0.0090342                      ,-0.01403                       ,4.5475                         ,0.19973                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3512                         ,141.1359                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.433                          ,123                            ,0.14867                        ,3                              ,0.049556                       ,0.0010709                      ,0.0084528                      ,-0.0073819                     ,0.0056272                      ,0.0089864                      ,0.012752                       ,0.0089864                      ,-0.013948                      ,4.5415                         ,0.16145                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3109                         ,142.4393                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.7572                         ,138                            ,1                              ,3                              ,0.33333                        ,0.0070488                      ,0.0084341                      ,-0.0013853                     ,0.0055976                      ,0.0089375                      ,0.012681                       ,0.0089375                      ,-0.013865                      ,4.5356                         ,0.27282                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2708                         ,143.7401                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.0744                         ,153                            ,1                              ,3                              ,0.33333                        ,0.0072251                      ,0.0084131                      ,-0.001188                      ,0.0055672                      ,0.0088877                      ,0.01261                        ,0.0088877                      ,-0.013782                      ,4.5297                         ,0.31658                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.231                          ,145.0388                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.3995                         ,168                            ,1                              ,3                              ,0.33333                        ,0.0070947                      ,0.0083901                      ,-0.0012955                     ,0.0055362                      ,0.008837                       ,0.012537                       ,0.008837                       ,-0.013698                      ,4.5239                         ,0.24339                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.1914                         ,146.3375                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.7187                         ,183                            ,1                              ,3                              ,0.33333                        ,0.0071539                      ,0.0083658                      ,-0.0012119                     ,0.005505                       ,0.008786                       ,0.012464                       ,0.008786                       ,-0.013614                      ,4.518                          ,0.43107                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.1519                         ,147.6361                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.0407                         ,198                            ,1.7147                         ,3                              ,0.57156                        ,0.012295                       ,0.0083408                      ,0.0039543                      ,0.0054738                      ,0.0087351                      ,0.012391                       ,0.0087351                      ,-0.01353                       ,4.5122                         ,0.45255                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.1127                         ,148.9348                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.3633                         ,213                            ,2.6813                         ,3                              ,0.89378                        ,0.018979                       ,0.0083165                      ,0.010663                       ,0.0054433                      ,0.0086849                      ,0.012318                       ,0.0086849                      ,-0.013446                      ,4.5062                         ,0.41234                        ,1                              ,1                              ,0                              ,1                              ,0                              ,0.02967                        ,6.0737                         ,150.2335                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
14.6819                         ,228                            ,1                              ,3                              ,0.33333                        ,0.0072343                      ,0.0082944                      ,-0.0010602                     ,0.0054142                      ,0.0086364                      ,0.012248                       ,0.0086364                      ,-0.013362                      ,4.5001                         ,0.44623                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.0349                         ,151.5321                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.0074                         ,243                            ,1                              ,3                              ,0.33333                        ,0.0070597                      ,0.0082766                      ,-0.0012169                     ,0.0053876                      ,0.008591                       ,0.012182                       ,0.008591                       ,-0.013279                      ,4.4938                         ,0.4911                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.9963                         ,152.8451                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
